timestamp,workload,io_wait,memory_usage,disk_write_bytes,cpu_usage,disk_read_bytes,cpu_idle,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_startworkflow_POST_0.5,app_http_request_latency_startworkflow_POST_0.9,app_http_request_latency_startworkflow_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,k1,k2,k3,k4,k5,
1523986497,1,1.150000000000091,34.09721323241694,2.5051136e+06,40.399999999999636,0,59.600000000000364,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1218,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986499,1,1.150000000000091,34.09721323241694,2.5051136e+06,40.399999999999636,0,59.600000000000364,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1218,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986501,1,1.150000000000091,34.09721323241694,2.5051136e+06,40.399999999999636,0,59.600000000000364,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1218,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986503,1,1.6999999999998752,33.822498378164354,240844.8,10.599999999994907,0,89.4000000000051,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1218,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986505,1,1.6999999999998752,33.822498378164354,240844.8,10.599999999994907,0,89.4000000000051,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1218,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986507,0.4,0.29999999999972715,33.20381488046135,6553.6,19.200000000005275,0,80.79999999999472,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986509,0.4,0.29999999999972715,33.20381488046135,6553.6,19.200000000005275,0,80.79999999999472,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986511,1.4,0.29999999999972715,33.20381488046135,6553.6,19.200000000005275,0,80.79999999999472,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986513,1.4,10.000000000000284,33.23883331591792,616038.4,20.50000000000182,0,79.49999999999818,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986515,1.4,10.000000000000284,33.23883331591792,616038.4,20.50000000000182,0,79.49999999999818,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986517,1.4000000000000001,5.800000000000125,33.118507916099645,264601.6,13.599999999992178,0,86.40000000000782,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986519,1.4000000000000001,5.800000000000125,33.118507916099645,264601.6,13.599999999992178,0,86.40000000000782,3057,3100,3108,1,3,7,1002,1004,1009,2202,2313,2325,143,1104,1335,NaN,NaN,NaN,1222,2842,4543,28,45,284,1000,2000,3000,4000,5000,
1523986521,1.4,5.800000000000125,33.118507916099645,264601.6,13.599999999992178,0,86.40000000000782,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,27,45,284,1000,2000,3000,4000,5000,
1523986523,1.4,10.749999999999888,33.12053903429874,448921.6,21.450000000008913,0,78.54999999999109,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,27,45,284,1000,2000,3000,4000,5000,
1523986525,1.4,10.749999999999888,33.12053903429874,448921.6,21.450000000008913,0,78.54999999999109,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,27,45,284,1000,2000,3000,4000,5000,
1523986527,1,0.449999999999875,33.23912697156116,203980.8,6.549999999992906,0,93.4500000000071,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986529,1,0.449999999999875,33.23912697156116,203980.8,6.549999999992906,0,93.4500000000071,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986531,0.4,0.449999999999875,33.23912697156116,203980.8,6.549999999992906,0,93.4500000000071,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,28,45,284,1000,2000,3000,4000,5000,
1523986533,0.4,0.7499999999998863,33.11092181198257,41779.2,6.700000000005275,0,93.29999999999472,3057,3108,3113,1,3,5,1002,1004,1009,2202,2313,2325,143,887,1335,NaN,NaN,NaN,1222,2330,4543,28,45,284,1000,2000,3000,4000,5000,
