,CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
0E+00,9.515000000003056E+01,4.849999999969441E+00,1.2E+00,5.500000000000682E-01,4.6926661216091645E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.112E+03,3.056E+03,3.074E+03,3.078E+03,2.45E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,8.05E+02,0E+00,0E+00,0E+00,1.137E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.765000000006694E+01,2.349999999933061E+00,8E-01,4.999999999995453E-02,4.725814949470429E+01,1E+00,3E+00,3E+00,1.004E+03,1.012E+03,1.205E+03,3.055E+03,3.074E+03,3.074E+03,2.417E+03,2.497E+03,2.497E+03,4.5E+01,8.05E+02,8.05E+02,0E+00,0E+00,0E+00,8.1E+02,2.076E+03,2.076E+03,5.1E+01,1.08E+02,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.740000000001601E+01,2.599999999983993E+00,4E-01,2.9999999999972715E-01,4.729125916847979E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.205E+03,3.056E+03,3.074E+03,3.078E+03,2.417E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,8.05E+02,0E+00,0E+00,0E+00,1.137E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.419999999998254E+01,5.800000000017462E+00,4E-01,2.5499999999999545E+00,4.694773100849424E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.074E+03,3.078E+03,2.45E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,8.05E+02,0E+00,0E+00,0E+00,1.137E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.674999999999272E+01,2.3250000000007276E+01,1E+00,1.2700000000000955E+01,4.696043161506444E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.136E+03,3.055E+03,3.078E+03,3.078E+03,2.45E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,1.051E+03,0E+00,0E+00,0E+00,1.316E+03,2.337E+03,2.817E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.360000000000582E+01,6.399999999994179E+00,6.000000000000001E-01,4.4999999999959067E-01,4.6885989909502676E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.078E+03,3.078E+03,2.417E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,1.051E+03,0E+00,0E+00,0E+00,1.316E+03,2.076E+03,2.817E+03,5.1E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.080000000001746E+01,1.9199999999982538E+01,1.5999999999999999E+00,9.900000000000091E+00,4.7266029254464605E+01,1E+00,3E+00,3E+00,1.004E+03,1.012E+03,1.205E+03,3.055E+03,3.074E+03,3.074E+03,2.417E+03,2.497E+03,2.497E+03,4.5E+01,6.51E+02,8.05E+02,0E+00,0E+00,0E+00,1.101E+03,2.038E+03,2.076E+03,5.1E+01,1.08E+02,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.779999999995198E+01,1.2200000000048021E+01,1E+00,6.050000000000182E+00,4.728438273216721E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.205E+03,3.055E+03,3.074E+03,3.078E+03,2.417E+03,2.482E+03,2.497E+03,4.5E+01,6.51E+02,8.05E+02,0E+00,0E+00,0E+00,1.101E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.744999999998981E+01,2.550000000010172E+00,8E-01,4.500000000007276E-01,4.728829814074377E+01,1E+00,3E+00,3E+00,1.004E+03,1.01E+03,1.205E+03,3.055E+03,3.074E+03,3.078E+03,2.417E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,8.05E+02,0E+00,0E+00,0E+00,1.137E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.694999999999709E+01,3.0500000000029104E+00,1E+00,1.9999999999981813E-01,4.728452955998883E+01,1E+00,3E+00,3E+00,1.004E+03,1.01E+03,1.205E+03,3.055E+03,3.074E+03,3.078E+03,2.417E+03,2.497E+03,2.497E+03,4.5E+01,6.51E+02,8.05E+02,0E+00,0E+00,0E+00,1.101E+03,2.038E+03,2.076E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
