,CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
0E+00,8.764999999999873E+01,1.2350000000001273E+01,8E-01,1.1499999999998778E+00,5.8561566985666424E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.058E+03,3.09E+03,3.826E+03,2.375E+03,2.685E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.845E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.655000000000655E+01,1.3449999999993452E+01,4E-01,8.500000000000795E-01,5.8626905366287694E+01,1E+00,2E+00,5E+00,1.003E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.279E+03,0E+00,0E+00,0E+00,1.691E+03,3.038E+03,4.095E+03,5.2E+01,1.66E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.54499999999939E+01,1.4550000000006108E+01,8E-01,7.499999999998153E-01,5.835008597992521E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.845E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.259999999999536E+01,1.740000000000464E+01,6.000000000000001E-01,1.2999999999997414E+00,5.82569481984104E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.845E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.845000000000482E+01,1.154999999999518E+01,1.2E+00,9.499999999997044E-01,5.8633659446082255E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.809E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,7.660000000000082E+01,2.339999999999918E+01,1.4E+00,7.449999999999761E+00,5.862546155937509E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.058E+03,3.09E+03,3.826E+03,2.375E+03,2.685E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.876E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.470000000000255E+01,1.5299999999997453E+01,8E-01,1.0999999999998522E+00,5.854911109213226E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.845E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,4.0650000000000546E+01,5.9349999999999454E+01,1.7999999999999998E+00,2.635000000000005E+01,5.879553711941923E+01,1E+00,2E+00,5E+00,1.003E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.279E+03,0E+00,0E+00,0E+00,1.691E+03,3.147E+03,4.095E+03,5.2E+01,1.66E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.650000000000091E+01,1.349999999999909E+01,8E-01,3.9999999999984936E-01,5.846265397650119E+01,1E+00,2E+00,5E+00,1.003E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.347E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.279E+03,0E+00,0E+00,0E+00,1.691E+03,3.038E+03,4.095E+03,5.2E+01,1.66E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.695000000000164E+01,1.3049999999998363E+01,6.000000000000001E-01,7.500000000001705E-01,5.84676950650435E+01,1E+00,2E+00,5E+00,1.004E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.142E+03,0E+00,0E+00,0E+00,1.845E+03,3.147E+03,4.095E+03,5.2E+01,1.1E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
