timestamp,workload,io_wait,memory_usage,disk_write_bytes,cpu_usage,disk_read_bytes,cpu_idle,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_max_wal_size_gb,pg_min_wal_size_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb,
1519759968,3.2,7.850000000000108,61.109176518609566,965017.6,12.600000000002183,819.2,87.39999999999782,44,89,89,1,1,2,0,1,1,55,81,155,26,644,1234,1109,3033,3033,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759970,3.2,7.850000000000108,61.109176518609566,965017.6,12.600000000002183,819.2,87.39999999999782,44,89,89,1,1,2,0,1,1,55,81,155,26,644,1234,1109,3033,3033,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759972,2.2,0.3499999999998238,61.11480491843837,101580.8,2.9500000000098225,819.2,97.04999999999016,44,89,89,1,1,2,0,1,1,55,81,155,26,644,1234,1109,3033,3033,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759974,2.2,0.3499999999998238,61.11480491843837,101580.8,2.9500000000098225,819.2,97.04999999999016,44,89,89,1,1,2,0,1,1,55,81,155,26,644,1234,1109,3033,3033,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759976,3,0.3499999999998238,61.11480491843837,101580.8,2.9500000000098225,819.2,97.04999999999016,44,89,89,1,1,2,0,1,2,55,81,155,26,644,1234,1109,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759978,3,4.350000000000734,61.02724659414515,282624,9.349999999985812,0,90.65000000001417,44,89,89,1,1,2,0,1,2,55,81,155,26,644,1234,1109,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759980,3,4.350000000000734,61.02724659414515,282624,9.349999999985812,0,90.65000000001417,44,89,89,1,1,2,0,1,2,55,81,155,26,644,1234,1109,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759982,4.2,5.199999999999392,61.03130883054332,297369.6,8.450000000029831,0,91.54999999997018,44,89,89,1,1,2,0,1,1,55,81,155,25,644,1234,1010,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759984,4.2,5.199999999999392,61.03130883054332,297369.6,8.450000000029831,0,91.54999999997018,44,89,89,1,1,2,0,1,1,55,81,155,25,644,1234,1010,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519759986,1.8,5.199999999999392,61.03130883054332,297369.6,8.450000000029831,0,91.54999999997018,44,89,89,1,1,2,0,1,1,55,81,155,25,644,1234,1010,3033,3033,30,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
