timestamp,workload,io_wait,memory_usage,disk_write_bytes,cpu_usage,disk_read_bytes,cpu_idle,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_max_wal_size_gb,pg_min_wal_size_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb,
1519757244,2,2.2500000000005116,59.285501560167965,219545.6,19.000000000014552,61440,80.99999999998545,44,67,90,1,2,4,0,0,1,54,89,132,130,1635,1635,1268,2729,2729,28,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757246,2,2.2500000000005116,59.285501560167965,219545.6,19.000000000014552,61440,80.99999999998545,44,67,90,1,2,4,0,0,1,54,89,132,130,1635,1635,1268,2729,2729,28,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757248,2,2.2500000000005116,59.285501560167965,219545.6,19.000000000014552,61440,80.99999999998545,44,67,90,1,2,4,0,0,1,54,89,132,130,1635,1635,1268,2729,2729,28,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757250,2.2,2.699999999999676,59.33395474130284,118784,25.499999999988177,203161.6,74.50000000001182,44,67,90,1,2,4,0,0,1,54,89,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757252,2.2,2.699999999999676,59.33395474130284,118784,25.499999999988177,203161.6,74.50000000001182,44,67,90,1,2,4,0,0,1,54,89,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757254,3,2.8000000000002956,59.99174338216419,174489.6,27.550000000014734,594739.2,72.44999999998527,44,67,90,1,2,4,0,0,1,53,88,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757256,3,2.8000000000002956,59.99174338216419,174489.6,27.550000000014734,594739.2,72.44999999998527,44,67,90,1,2,4,0,0,1,53,88,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757258,3,2.8000000000002956,59.99174338216419,174489.6,27.550000000014734,594739.2,72.44999999998527,44,67,90,1,2,4,0,0,1,53,88,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757260,3,1.7999999999998548,59.686121271460415,121241.6,17.04999999998563,4096,82.95000000001437,44,67,90,1,2,4,0,0,1,53,88,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757262,3,1.7999999999998548,59.686121271460415,121241.6,17.04999999998563,4096,82.95000000001437,44,67,90,1,2,4,0,0,1,53,88,132,130,1635,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757264,3.6000000000000005,5.499999999999972,59.92948838579696,462028.8,35.14999999999873,2457.6,64.85000000000127,44,67,90,1,2,4,0,0,1,53,88,132,24,640,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757266,3.6000000000000005,5.499999999999972,59.92948838579696,462028.8,35.14999999999873,2457.6,64.85000000000127,44,67,90,1,2,4,0,0,1,53,88,132,24,640,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757268,3.6000000000000005,5.499999999999972,59.92948838579696,462028.8,35.14999999999873,2457.6,64.85000000000127,44,67,90,1,2,4,0,0,1,53,88,132,24,640,1635,1268,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757270,4,11.449999999999678,60.33421927609479,1.2173312e+06,37.35000000001036,819.2,62.64999999998964,44,67,90,1,2,4,0,0,1,53,88,132,24,983,1635,1032,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757272,4,11.449999999999678,60.33421927609479,1.2173312e+06,37.35000000001036,819.2,62.64999999998964,44,67,90,1,2,4,0,0,1,53,88,132,24,983,1635,1032,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757274,3.6,0.8500000000000085,59.961790506553534,140083.2,16.749999999974534,0,83.25000000002547,44,67,90,1,2,4,0,0,1,53,85,106,24,983,1635,1032,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757276,3.6,0.8500000000000085,59.961790506553534,140083.2,16.749999999974534,0,83.25000000002547,44,67,90,1,2,4,0,0,1,53,85,106,24,983,1635,1032,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
1519757278,3.6,0.8500000000000085,59.961790506553534,140083.2,16.749999999974534,0,83.25000000002547,44,67,90,1,2,4,0,0,1,53,85,106,24,983,1635,1032,2729,2729,29,79,92,0.1,30,16,8,1,80,2,16,1,512,
