timestamp,workload,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_checkpoint_segments,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb
1517599186,6.2,44,89,633,1,2,2,7,12,44,371,641,1384,45,1180,1211,2326,2965,2965,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599188,7.2,44,89,633,1,2,2,7,13,44,371,641,1384,45,1157,1211,1745,2965,3624,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599190,7.2,44,89,633,1,2,2,7,13,44,371,641,1384,45,1157,1211,1745,2965,3624,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599192,5.8,44,89,633,1,2,2,7,13,44,362,640,1384,45,1157,1211,1509,2965,3624,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599194,5.8,44,89,633,1,2,2,7,13,44,362,640,1384,45,1157,1211,1509,2965,3624,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599196,5.8,44,89,633,1,2,2,7,13,44,362,640,1384,45,1157,1211,1509,2965,3624,36,245,1846,0.1,1,30,16,8,2,16,2,512
1517599198,5.8,44,89,633,1,2,2,7,13,44,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599200,5.8,44,89,633,1,2,2,7,13,44,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599202,4.4,44,89,633,1,2,2,7,13,29,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599204,4.4,44,89,633,1,2,2,7,13,29,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599206,4.4,44,89,633,1,2,2,7,13,29,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599208,4.4,44,89,633,1,2,2,7,13,29,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599210,4.4,44,89,633,1,2,2,7,13,29,362,640,1384,45,1157,1211,1509,2965,3624,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599212,8.6,44,89,633,1,2,2,7,13,29,360,638,1307,45,1129,1211,1745,3624,4258,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599214,8.6,44,89,633,1,2,2,7,13,29,360,638,1307,45,1129,1211,1745,3624,4258,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599216,8.6,44,89,633,1,2,2,7,13,29,360,638,1307,45,1129,1211,1745,3624,4258,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599218,8.4,44,89,633,1,2,2,7,13,43,362,640,1307,45,1160,1252,2326,4258,4374,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599220,8.4,44,89,633,1,2,2,7,13,43,362,640,1307,45,1160,1252,2326,4258,4374,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599222,9.8,44,89,633,1,2,2,7,13,43,362,640,1307,46,1162,1274,2351,4269,4474,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599224,9.8,44,89,633,1,2,2,7,13,43,362,640,1307,46,1162,1274,2351,4269,4474,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599226,9.8,44,89,633,1,2,2,7,13,43,362,640,1307,46,1162,1274,2351,4269,4474,35,245,1846,0.1,1,30,16,8,2,16,2,512
1517599228,7.8,44,89,633,1,2,3,7,13,43,369,640,1307,46,1162,1274,2362,4269,4474,33,106,1846,0.1,1,30,16,8,2,16,2,512
1517599230,7.8,44,89,633,1,2,3,7,13,43,369,640,1307,46,1162,1274,2362,4269,4474,33,106,1846,0.1,1,30,16,8,2,16,2,512
1517599232,7,45,89,633,1,2,3,7,13,39,371,640,1307,46,1162,1274,2326,4258,4474,35,106,1846,0.1,1,30,16,8,2,16,2,512
1517599234,7,45,89,633,1,2,3,7,13,39,371,640,1307,46,1162,1274,2326,4258,4474,35,106,1846,0.1,1,30,16,8,2,16,2,512
1517599236,7,45,89,633,1,2,3,7,13,39,371,640,1307,46,1162,1274,2326,4258,4474,35,106,1846,0.1,1,30,16,8,2,16,2,512
1517599238,7.4,45,89,633,1,2,3,7,13,43,369,640,1307,46,1178,1274,2326,4258,4474,35,106,1846,0.1,1,30,16,8,2,16,2,512
1517599240,7.4,45,89,633,1,2,3,7,13,43,369,640,1307,46,1178,1274,2326,4258,4474,35,106,1846,0.1,1,30,16,8,2,16,2,512
1517599242,7,45,89,633,1,2,3,7,13,43,371,641,1307,46,1162,1268,2308,4258,4474,36,106,1846,0.1,1,30,16,8,2,16,2,512
1517599244,7,45,89,633,1,2,3,7,13,43,371,641,1307,46,1162,1268,2308,4258,4474,36,106,1846,0.1,1,30,16,8,2,16,2,512
1517599246,7,45,89,633,1,2,3,7,13,43,371,641,1307,46,1162,1268,2308,4258,4474,36,106,1846,0.1,1,30,16,8,2,16,2,512
1517599248,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2113,4050,4474,36,106,1846,0.1,1,30,16,8,2,16,2,512
1517599250,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2113,4050,4474,36,106,1846,0.1,1,30,16,8,2,16,2,512
1517599252,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599254,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599256,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599258,8.2,45,89,633,1,2,3,7,14,44,372,641,1307,46,1162,1270,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599260,8.2,45,89,633,1,2,3,7,14,44,372,641,1307,46,1162,1270,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599262,8.2,45,89,633,1,2,3,7,14,43,372,644,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599264,8.2,45,89,633,1,2,3,7,14,43,372,644,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
